192.168.0.12 - - [26/May/2024:03:56:51 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:57:06 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:57:06 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:57:06 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:57:21 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:57:21 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:57:21 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:57:36 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:57:36 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:57:36 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:57:51 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:57:51 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:57:51 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:58:06 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:58:06 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:58:06 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:58:21 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:58:21 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:58:21 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:58:36 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:58:36 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:58:36 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:58:51 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:58:51 +1000] "GET /index.js HTTP/1.1" 200 171
